"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"049 Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown",1884,2870,1323,1547,986,52.3
 ,"050 Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown",3690,3688,1780,1908,-2,-0.1
 ,"051 Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown",1623,1727,844,883,104,6.4
 ,"052 Dún Laoghaire-West Central, Dún Laoghaire-Rathdown",2368,2673,1286,1387,305,12.9
 ,"053 Foxrock-Beechpark, Dún Laoghaire-Rathdown",1653,1674,806,868,21,1.3
 ,"054 Foxrock-Carrickmines, Dún Laoghaire-Rathdown",6088,5950,2840,3110,-138,-2.3
 ,"055 Foxrock-Deans Grange, Dún Laoghaire-Rathdown",2434,2446,1167,1279,12,0.5
 ,"056 Foxrock-Torquay, Dún Laoghaire-Rathdown",1439,1446,677,769,7,0.5
 ,"057 Glencullen, Dún Laoghaire-Rathdown",17381,19743,9626,10117,2362,13.6
 ,"058 Killiney North, Dún Laoghaire-Rathdown",3367,3323,1582,1741,-44,-1.3
 ,"059 Killiney South, Dún Laoghaire-Rathdown",6478,6392,3029,3363,-86,-1.3
 ,"060 Shankill-Rathmichael, Dún Laoghaire-Rathdown",5353,5617,2733,2884,264,4.9
 ,"061 Shankill-Rathsallagh, Dún Laoghaire-Rathdown",3250,3255,1548,1707,5,0.2
 ,"062 Shankill-Shanganagh, Dún Laoghaire-Rathdown",5334,5479,2723,2756,145,2.7
 ,"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",2793,2864,1349,1515,71,2.5
 ,"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",3828,3970,1900,2070,142,3.7
 ,"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",2429,2642,1283,1359,213,8.8
 ,"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",2744,3214,1520,1694,470,17.1
 ,"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",2407,2354,1118,1236,-53,-2.2
 ,"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",2229,2237,1085,1152,8,0.4
 ,"069 Tibradden, Dún Laoghaire-Rathdown",786,1109,528,581,323,41.1
 ,Fingal,273991,296214,145209,151005,22223,8.1
 ,"001 Airport, Fingal",4032,4976,2492,2484,944,23.4
 ,"002 Balbriggan Rural, Fingal",15140,16479,7973,8506,1339,8.8
 ,"003 Balbriggan Urban, Fingal",7555,8114,3992,4122,559,7.4
 ,"004 Baldoyle, Fingal",7050,7549,3647,3902,499,7.1
 ,"005 Balgriffin, Fingal",1966,3131,1522,1609,1165,59.3
 ,"006 Ballyboghil, Fingal",1011,1153,550,603,142,14
 ,"007 Balscadden, Fingal",667,720,371,349,53,7.9
 ,"008 Blanchardstown-Abbotstown, Fingal",4870,6204,2993,3211,1334,27.4
 ,"009 Blanchardstown-Blakestown, Fingal",36057,38924,19151,19773,2867,8
 ,"010 Blanchardstown-Coolmine, Fingal",10819,11343,5619,5724,524,4.8
 ,"011 Blanchardstown-Corduff, Fingal",3788,3850,1817,2033,62,1.6
 ,"012 Blanchardstown-Delwood, Fingal",5044,5126,2499,2627,82,1.6
 ,"013 Blanchardstown-Mulhuddart, Fingal",3866,4126,2030,2096,260,6.7
 ,"014 Blanchardstown-Roselawn, Fingal",1682,1676,826,850,-6,-0.4
 ,"015 Blanchardstown-Tyrrelstown, Fingal",2112,3229,1529,1700,1117,52.9
 ,"016 Castleknock-Knockmaroon, Fingal",18071,18795,9100,9695,724,4
 ,"017 Castleknock-Park, Fingal",5124,5310,2653,2657,186,3.6
 ,"018 Clonmethan, Fingal",790,832,430,402,42,5.3
 ,"019 Donabate, Fingal",8733,9426,4664,4762,693,7.9
 ,"020 Dubber, Fingal",6359,7309,3540,3769,950,14.9
 ,"021 Garristown, Fingal",1438,1618,823,795,180,12.5
 ,"022 Hollywood, Fingal",1259,1374,686,688,115,9.1
 ,"023 Holmpatrick, Fingal",3224,3452,1725,1727,228,7.1
 ,"024 Howth, Fingal",8256,8277,3980,4297,21,0.3
 ,"025 Kilsallaghan, Fingal",2205,2261,1120,1141,56,2.5
 ,"026 Kinsaley, Fingal",8475,9592,4609,4983,1117,13.2
 ,"027 Lucan North, Fingal",1358,1479,706,773,121,8.9
 ,"028 Lusk, Fingal",8814,9621,4732,4889,807,9.2
 ,"029 Malahide East, Fingal",6879,7272,3521,3751,393,5.7
 ,"030 Malahide West, Fingal",6273,6360,3141,3219,87,1.4
 ,"031 Portmarnock North, Fingal",4118,4121,2059,2062,3,0.1
 ,"032 Portmarnock South, Fingal",3465,3606,1764,1842,141,4.1
 ,"033 Rush, Fingal",9196,9827,4853,4974,631,6.9
 ,"034 Skerries, Fingal",8333,8480,4113,4367,147,1.8
 ,"035 Sutton, Fingal",5609,5661,2748,2913,52,0.9
 ,"036 Swords-Forrest, Fingal",13894,15173,7392,7781,1279,9.2
 ,"037 Swords-Glasmore, Fingal",7748,7684,3860,3824,-64,-0.8
 ,"038 Swords-Lissenhall, Fingal",9667,10429,5163,5266,762,7.9
 ,"039 Swords-Seatown, Fingal",6539,6808,3390,3418,269,4.1
 ,"040 Swords Village, Fingal",2581,2682,1310,1372,101,3.9
 ,"041 The Ward, Fingal",8241,10470,5281,5189,2229,27
 ,"042 Turnapin, Fingal",1683,1695,835,860,12,0.7
 ,South Dublin,265205,278749,136275,142474,13544,5.1
 ,"001 Ballinascorney, South Dublin",804,931,493,438,127,15.8
 ,"002 Ballyboden, South Dublin",5085,4959,2384,2575,-126,-2.5
 ,"003 Bohernabreena, South Dublin",4592,4552,2263,2289,-40,-0.9
 ,"004 Clondalkin-Ballymount, South Dublin",1915,2036,1032,1004,121,6.3
 ,"005 Clondalkin-Cappaghmore, South Dublin",2605,2558,1195,1363,-47,-1.8
 ,"006 Clondalkin-Dunawley, South Dublin",10877,11358,5488,5870,481,4.4
 ,"007 Clondalkin-Monastery, South Dublin",10904,11322,5605,5717,418,3.8
 ,"008 Clondalkin-Moorfield, South Dublin",6251,6313,3080,3233,62,1
 ,"009 Clondalkin-Rowlagh, South Dublin",4058,4073,1957,2116,15,0.4
 ,"010 Clondalkin Village, South Dublin",8492,9153,4528,4625,661,7.8
 ,"011 Edmondstown, South Dublin",5712,5764,2833,2931,52,0.9
 ,"012 Firhouse-Ballycullen, South Dublin",7773,8280,4078,4202,507,6.5
 ,"013 Firhouse-Knocklyon, South Dublin",3602,3514,1719,1795,-88,-2.4
 ,"014 Firhouse Village, South Dublin",11648,12199,5930,6269,551,4.7
 ,"015 Lucan-Esker, South Dublin",29820,32134,15901,16233,2314,7.8
 ,"016 Lucan Heights, South Dublin",5217,5294,2582,2712,77,1.5
 ,"017 Lucan-St. Helen's, South Dublin",9450,10372,5145,5227,922,9.8
 ,"018 Newcastle, South Dublin",3749,4258,2145,2113,509,13.6
 ,"019 Palmerston Village, South Dublin",3623,3638,1735,1903,15,0.4
 ,"020 Palmerston West, South Dublin",7593,7492,3642,3850,-101,-1.3
 ,"021 Rathcoole, South Dublin",4740,5520,2790,2730,780,16.5
 ,"022 Rathfarnham-Ballyroan, South Dublin",2493,2678,1275,1403,185,7.4
 ,"023 Rathfarnham-Butterfield, South Dublin",3206,3296,1547,1749,90,2.8
 ,"024 Rathfarnham-Hermitage, South Dublin",4604,4610,2207,2403,6,0.1
 ,"025 Rathfarnham-St. Enda's, South Dublin",3843,3865,1845,2020,22,0.6
 ,"026 Rathfarnham Village, South Dublin",2993,3098,1452,1646,105,3.5
 ,"027 Saggart, South Dublin",3060,4113,2035,2078,1053,34.4
 ,"028 Tallaght-Avonbeg, South Dublin",1613,1643,787,856,30,1.9
 ,"029 Tallaght-Belgard, South Dublin",1694,1687,873,814,-7,-0.4
 ,"030 Tallaght-Fettercairn, South Dublin",7607,8318,3977,4341,711,9.3
 ,"031 Tallaght-Glenview, South Dublin",1723,1929,975,954,206,12
 ,"032 Tallaght-Jobstown, South Dublin",16630,17788,8585,9203,1158,7
 ,"033 Tallaght-Killinardan, South Dublin",3915,3987,1935,2052,72,1.8
 ,"034 Tallaght-Kilnamanagh, South Dublin",4452,4325,2192,2133,-127,-2.9
 ,"035 Tallaght-Kiltipper, South Dublin",8068,8562,4136,4426,494,6.1
 ,"036 Tallaght-Kingswood, South Dublin",3974,4060,1985,2075,86,2.2
 ,"037 Tallaght-Millbrook, South Dublin",3290,3297,1585,1712,7,0.2
 ,"038 Tallaght-Oldbawn, South Dublin",4527,4595,2316,2279,68,1.5
 ,"039 Tallaght-Springfield, South Dublin",9123,11068,5514,5554,1945,21.3
 ,"040 Tallaght-Tymon, South Dublin",4888,4967,2407,2560,79,1.6
 ,"041 Templeogue-Cypress, South Dublin",2800,2717,1309,1408,-83,-3
 ,"042 Templeogue-Kimmage Manor, South Dublin",4637,4844,2374,2470,207,4.5
 ,"043 Templeogue-Limekiln, South Dublin",3501,3542,1716,1826,41,1.2
 ,"044 Templeogue-Orwell, South Dublin",2138,2056,1019,1037,-82,-3.8
 ,"045 Templeogue-Osprey, South Dublin",2334,2262,1099,1163,-72,-3.1
 ,"046 Templeogue Village, South Dublin",1994,2067,983,1084,73,3.7
 ,"047 Terenure-Cherryfield, South Dublin",2174,2157,1036,1121,-17,-0.8
 ,"048 Terenure-Greentrees, South Dublin",2791,2927,1359,1568,136,4.9
 ,"049 Terenure-St. James, South Dublin",2623,2571,1227,1344,-52,-2
 ,Kildare,210312,222130,110340,111790,11818,5.6
 ,"Athy Town, Co. Kildare",9587,9919,4908,5011,332,3.5
 ,"001 Athy East Urban, Co. Kildare",3867,3907,1926,1981,40,1
 ,"002 Athy West Urban, Co. Kildare",2944,3065,1551,1514,121,4.1
 ,004 Athy Rural (Part Urban) Co. Kildare,2776,2947,1431,1516,171,6.2
 ,"Naas Town, Co. Kildare",20713,21493,10521,10972,780,3.8
 ,"003 Naas Urban, Co. Kildare",20713,21493,10521,10972,780,3.8
 ,"Athy No. 1 rural area, Co. Kildare",21530,22829,11541,11288,1299,6
 ,"004 Athy Rural (Part Rural), Co. Kildare",895,874,497,377,-21,-2.3
 ,"005 Ballaghmoon, Co. Kildare",193,203,97,106,10,5.2
 ,"006 Ballitore, Co. Kildare",1026,1141,571,570,115,11.2
 ,"007 Ballybrackan, Co. Kildare",548,615,316,299,67,12.2
 ,"008 Ballyshannon, Co. Kildare",1752,1787,882,905,35,2
 ,"009 Belan, Co. Kildare",270,272,146,126,2,0.7
 ,"010 Bert, Co. Kildare",156,159,89,70,3,1.9
 ,"011 Burtown, Co. Kildare",361,415,211,204,54,15
 ,"012 Carrigeen, Co. Kildare",624,624,315,309,0,0
 ,"013 Castledermot, Co. Kildare",1609,1637,812,825,28,1.7
 ,"014 Churchtown, Co. Kildare",527,533,261,272,6,1.1
 ,"015 Dunmanoge, Co. Kildare",478,478,259,219,0,0
 ,"016 Fontstown, Co. Kildare",413,441,232,209,28,6.8
 ,"017 Graney, Co. Kildare",735,771,377,394,36,4.9
 ,"018 Grangemellon, Co. Kildare",598,619,328,291,21,3.5
 ,"019 Harristown, Co. Kildare",452,476,247,229,24,5.3
 ,"020 Inchaquire, Co. Kildare",205,233,126,107,28,13.7
 ,"021 Johnstown, Co. Kildare",179,173,95,78,-6,-3.4
 ,"022 Kilberry, Co. Kildare",619,633,339,294,14,2.3
 ,"023 Kildangan, Co. Kildare",693,740,357,383,47,6.8
 ,"024 Kilkea, Co. Kildare",388,392,206,186,4,1
 ,"025 Kilrush, Co. Kildare",655,682,336,346,27,4.1
 ,"026 Lackagh, Co. Kildare",790,863,428,435,73,9.2
 ,"027 Monasterevin, Co. Kildare",4347,4896,2400,2496,549,12.6
 ,"028 Moone, Co. Kildare",471,487,245,242,16,3.4
 ,"029 Narraghmore, Co. Kildare",784,821,432,389,37,4.7
 ,"030 Nurney, Co. Kildare",959,1072,551,521,113,11.8
 ,"031 Quinsborough, Co. Kildare",145,162,81,81,17,11.7
 ,"032 Skerries, Co. Kildare",658,630,305,325,-28,-4.3
 ,"Celbridge No. 1 rural area, Co. Kildare",62677,67049,33317,33732,4372,7
 ,"033 Balraheen, Co. Kildare",2245,2411,1415,996,166,7.4
 ,"034 Celbridge, Co. Kildare",15323,15630,7809,7821,307,2
 ,"035 Cloncurry, Co. Kildare",1495,1571,801,770,76,5.1
 ,"036 Donadea, Co. Kildare",750,794,395,399,44,5.9
 ,"037 Donaghcumper, Co. Kildare",5710,6227,3057,3170,517,9.1
 ,"038 Kilcock, Co. Kildare",6234,6927,3332,3595,693,11.1
 ,"039 Leixlip, Co. Kildare",15597,15550,7698,7852,-47,-0.3
 ,"040 Maynooth, Co. Kildare",13617,15905,7810,8095,2288,16.8
 ,"041 Straffan, Co. Kildare",1706,2034,1000,1034,328,19.2
 ,"Edenderry No. 2 rural area, Co. Kildare",11756,12359,6157,6202,603,5.1
 ,"042 Ballynadrumny, Co. Kildare",584,570,309,261,-14,-2.4
 ,"043 Cadamstown, Co. Kildare",1265,1425,707,718,160,12.6
 ,"044 Carbury, Co. Kildare",1850,1914,957,957,64,3.5
 ,"045 Carrick, Co. Kildare",265,290,142,148,25,9.4
 ,"046 Cloncurry, Co. Kildare",388,398,192,206,10,2.6
 ,"047 Drehid, Co. Kildare",258,266,135,131,8,3.1
 ,"048 Dunfierth, Co. Kildare",751,725,379,346,-26,-3.5
 ,"049 Killinthomas, Co. Kildare",321,332,165,167,11,3.4
 ,"050 Kilpatrick, Co. Kildare",866,871,425,446,5,0.6
 ,"051 Kilrainy, Co. Kildare",740,753,391,362,13,1.8
 ,"052 Lullymore, Co. Kildare",191,187,96,91,-4,-2.1
 ,"053 Rathangan, Co. Kildare",2272,2511,1219,1292,239,10.5
 ,"054 Thomastown, Co. Kildare",868,931,452,479,63,7.3
 ,"055 Windmill Cross, Co. Kildare",1137,1186,588,598,49,4.3
 ,"Naas No. 1 rural area, Co. Kildare",84049,88481,43896,44585,4432,5.3
 ,"056 Ballymore Eustace, Co. Kildare",1475,1534,754,780,59,4
 ,"057 Ballysax East, Co. Kildare",1937,1938,985,953,1,0.1
 ,"058 Ballysax West, Co. Kildare",1071,1066,541,525,-5,-0.5
 ,"059 Bodenstown, Co. Kildare",4643,4959,2461,2498,316,6.8
 ,"060 Carnalway, Co. Kildare",1914,1980,955,1025,66,3.4
 ,"061 Carragh, Co. Kildare",1725,1819,958,861,94,5.4
 ,"062 Clane, Co. Kildare",7527,7935,3905,4030,408,5.4
 ,"063 Donore, Co. Kildare",793,784,386,398,-9,-1.1
 ,"064 Downings, Co. Kildare",2886,2958,1490,1468,72,2.5
 ,"065 Droichead Nua (Newbridge) Rural, Co. Kildare",2528,2708,1363,1345,180,7.1
 ,"066 Droichead Nua (Newbridge) Urban, Co. Kildare",7563,7682,3797,3885,119,1.6
 ,"067 Dunmurry, Co. Kildare",440,469,223,246,29,6.6
 ,"068 Feighcullen, Co. Kildare",586,618,308,310,32,5.5
 ,"069 Gilltown, Co. Kildare",944,946,478,468,2,0.2
 ,"070 Kilcullen, Co. Kildare",3296,3505,1691,1814,209,6.3
 ,"071 Kildare, Co. Kildare",9325,9859,4915,4944,534,5.7
 ,"072 Kill, Co. Kildare",4449,4675,2286,2389,226,5.1
 ,"073 Killashee, Co. Kildare",309,265,139,126,-44,-14.2
 ,"074 Kilmeage North, Co. Kildare",2080,2250,1137,1113,170,8.2
 ,"075 Kilmeage South, Co. Kildare",2003,2110,1023,1087,107,5.3
 ,"076 Kilteel, Co. Kildare",577,571,285,286,-6,-1
 ,"077 Ladytown, Co. Kildare",941,963,467,496,22,2.3
 ,"078 Morristownbiller, Co. Kildare",13852,14861,7250,7611,1009,7.3
 ,"079 Naas Rural, Co. Kildare",2353,2736,1343,1393,383,16.3
 ,"080 Newtown, Co. Kildare",840,923,454,469,83,9.9
 ,"081 Oldconnell, Co. Kildare",904,1109,620,489,205,22.7
 ,"082 Oughterard, Co. Kildare",726,702,366,336,-24,-3.3
 ,"083 Pollardstown, Co. Kildare",305,313,165,148,8,2.6
 ,"084 Rathernan, Co. Kildare",614,597,297,300,-17,-2.8
 ,"085 Rathmore, Co. Kildare",1157,1141,581,560,-16,-1.4
 ,"086 Robertstown, Co. Kildare",1923,1982,999,983,59,3.1
 ,"087 Timahoe North, Co. Kildare",1089,1163,598,565,74,6.8
 ,"088 Timahoe South, Co. Kildare",772,845,418,427,73,9.5
 ,"089 Usk, Co. Kildare",502,515,258,257,13,2.6
 ,Kilkenny,95419,99118,49479,49639,3699,3.9
 ,"Kilkenny Borough, Co. Kilkenny",8711,9807,4799,5008,1096,12.6
 ,"001 Kilkenny No. 1 Urban, Co. Kilkenny",5211,5764,2832,2932,553,10.6
 ,"002 Kilkenny No. 2 Urban, Co. Kilkenny",3500,4043,1967,2076,543,15.5
 ,"Callan Rural area, Co Kilkenny",7756,8111,4101,4010,355,4.6
 ,"003 Burnchurch, Co. Kilkenny",555,598,303,295,43,7.7
 ,"004 Callan Rural, Co. Kilkenny",1557,1641,809,832,84,5.4
 ,"005 Callan Urban, Co. Kilkenny",1692,1790,888,902,98,5.8
 ,"006 Coolaghmore, Co. Kilkenny",412,495,234,261,83,20.1
 ,"007 Dunamaggan, Co. Kilkenny",394,399,212,187,5,1.3
 ,"008 Earlstown, Co. Kilkenny",221,217,117,100,-4,-1.8
 ,"009 Kells, Co. Kilkenny",645,645,338,307,0,0
 ,"010 Killamery, Co. Kilkenny",214,210,110,100,-4,-1.9
 ,"011 Kilmaganny, Co. Kilkenny",673,716,373,343,43,6.4
 ,"012 Kilmanagh, Co. Kilkenny",496,518,267,251,22,4.4
 ,"013 Mallardstown, Co. Kilkenny",247,252,123,129,5,2
 ,"014 Scotsborough, Co. Kilkenny",166,165,91,74,-1,-0.6
 ,"015 Tullaghanbrogue, Co. Kilkenny",484,465,236,229,-19,-3.9
 ,"Carrick-on-Suir No. 3 rural area, Co. Kilkenny",4567,4604,2350,2254,37,0.8
 ,"016 Boolyglass, Co. Kilkenny",124,135,70,65,11,8.9
 ,"017 Fiddown, Co. Kilkenny",972,977,510,467,5,0.5
 ,"018 Muckalee, Co. Kilkenny",183,170,88,82,-13,-7.1
 ,"019 Pilltown, Co. Kilkenny",1792,1832,907,925,40,2.2
 ,"020 Templeorum, Co. Kilkenny",434,448,237,211,14,3.2
 ,"021 Tubbrid, Co. Kilkenny",415,432,227,205,17,4.1
 ,"022 Tullahought, Co. Kilkenny",189,194,101,93,5,2.6
 ,"023 Whitechurch, Co. Kilkenny",458,416,210,206,-42,-9.2
 ,"Castlecomer rural area, Co. Kilkenny",8478,8376,4240,4136,-102,-1.2
 ,"024 Attanagh, Co. Kilkenny",395,385,187,198,-10,-2.5
 ,"025 Ballyragget, Co. Kilkenny",1532,1511,742,769,-21,-1.4
 ,"026 Castlecomer, Co. Kilkenny",2293,2291,1155,1136,-2,-0.1
 ,"027 Clogh, Co. Kilkenny",1276,1219,626,593,-57,-4.5
 ,"028 Clogharinka, Co. Kilkenny",237,246,118,128,9,3.8
 ,"029 Kilmacar, Co. Kilkenny",452,444,234,210,-8,-1.8
 ,"030 Moneenroe, Co. Kilkenny",1316,1271,655,616,-45,-3.4
 ,"031 Mothell, Co. Kilkenny",454,446,236,210,-8,-1.8
 ,"032 Muckalee, Co. Kilkenny",523,563,287,276,40,7.6
 ,"Ida rural area, Co. Kilkenny",2953,3080,1544,1536,127,4.3
 ,"033 Brownsford, Co. Kilkenny",133,150,79,71,17,12.8
 ,"034 Dysartmoon, Co. Kilkenny",268,299,142,157,31,11.6
 ,"035 Jerpoint West, Co. Kilkenny",259,290,144,146,31,12
 ,"036 Listerlin, Co. Kilkenny",371,373,187,186,2,0.5
 ,"037 Rosbercon Rural, Co. Kilkenny",663,664,321,343,1,0.2
 ,"038 Shanbogh, Co. Kilkenny",461,487,245,242,26,5.6
 ,"039 The Rower, Co. Kilkenny",798,817,426,391,19,2.4
 ,"Kilkenny rural area, Co. Kilkenny",29121,30468,15032,15436,1347,4.6
 ,"040 Ballinamara, Co. Kilkenny",366,340,168,172,-26,-7.1
 ,"041 Ballybeagh, Co. Kilkenny",286,296,153,143,10,3.5
 ,"042 Ballycallan, Co. Kilkenny",453,431,225,206,-22,-4.9
 ,"043 Clara, Co. Kilkenny",624,656,317,339,32,5.1
 ,"044 Coolcraheen, Co. Kilkenny",521,518,259,259,-3,-0.6
 ,"045 Dunbell, Co. Kilkenny",524,521,272,249,-3,-0.6
 ,"046 Dunmore, Co. Kilkenny",561,645,311,334,84,15
 ,"047 Freshford, Co. Kilkenny",1021,1009,513,496,-12,-1.2
 ,"048 Gowran, Co. Kilkenny",1451,1450,713,737,-1,-0.1
 ,"049 Grange, Co. Kilkenny",833,869,449,420,36,4.3
 ,"050 Kilkenny Rural, Co. Kilkenny",16833,17944,8704,9240,1111,6.6
 ,"051 Kilkieran, Co. Kilkenny",688,670,346,324,-18,-2.6
 ,"052 Odagh, Co. Kilkenny",462,455,237,218,-7,-1.5
 ,"053 Outrath, Co. Kilkenny",715,690,339,351,-25,-3.5
 ,"054 Paulstown, Co. Kilkenny",975,1018,515,503,43,4.4
 ,"055 Rathcoole, Co. Kilkenny",506,519,278,241,13,2.6
 ,"056 Rathealy, Co. Kilkenny",214,202,100,102,-12,-5.6
 ,"057 St. Canice, Co. Kilkenny",576,595,292,303,19,3.3
 ,"058 Shankill, Co. Kilkenny",751,844,431,413,93,12.4
 ,"059 Tiscoffin, Co. Kilkenny",456,498,255,243,42,9.2
 ,"060 Tullaroan, Co. Kilkenny",305,298,155,143,-7,-2.3
 ,"Thomastown rural area, Co. Kilkenny",14026,14429,7203,7226,403,2.9
 ,"061 Aghaviller, Co. Kilkenny",403,423,209,214,20,5
 ,"062 Ballyhale, Co. Kilkenny",368,424,220,204,56,15.2
 ,"063 Ballyvool, Co. Kilkenny",174,189,99,90,15,8.6
 ,"064 Bennettsbridge, Co. Kilkenny",1041,1101,561,540,60,5.8
 ,"065 Bramblestown, Co. Kilkenny",257,271,136,135,14,5.4
 ,"066 Castlebanny, Co. Kilkenny",127,148,78,70,21,16.5
 ,"067 Castlegannon, Co. Kilkenny",124,114,54,60,-10,-8.1
 ,"068 Coolhill, Co. Kilkenny",288,268,126,142,-20,-6.9
 ,"069 Danesfort, Co. Kilkenny",468,469,229,240,1,0.2
 ,"070 Ennisnag, Co. Kilkenny",545,521,263,258,-24,-4.4
 ,"071 Famma, Co. Kilkenny",318,298,158,140,-20,-6.3
 ,"072 Freaghana, Co. Kilkenny",243,245,131,114,2,0.8
 ,"073 Goresbridge, Co. Kilkenny",589,567,276,291,-22,-3.7
 ,"074 Graiguenamanagh, Co. Kilkenny",1834,1811,909,902,-23,-1.3
 ,"075 Inistioge, Co. Kilkenny",780,817,400,417,37,4.7
 ,"076 Jerpoint Church, Co. Kilkenny",885,933,458,475,48,5.4
 ,"077 Kilfane, Co. Kilkenny",267,274,142,132,7,2.6
 ,"078 Kilkeasy, Co. Kilkenny",359,334,179,155,-25,-7
 ,"079 Kiltorcan, Co. Kilkenny",159,179,91,88,20,12.6
 ,"080 Knocktopher, Co. Kilkenny",521,544,271,273,23,4.4
 ,"081 Pleberstown, Co. Kilkenny",178,197,92,105,19,10.7
 ,"082 Powerstown, Co. Kilkenny",473,476,233,243,3,0.6
 ,"083 Stonyford, Co. Kilkenny",602,658,322,336,56,9.3
 ,"084 Thomastown, Co. Kilkenny",2201,2333,1138,1195,132,6
 ,"085 Tullaherin, Co. Kilkenny",217,226,108,118,9,4.1
 ,"086 Ullard, Co. Kilkenny",301,287,145,142,-14,-4.7
 ,"087 Woolengrange, Co. Kilkenny",304,322,175,147,18,5.9
 ,"Urlingford rural area, Co. Kilkenny",4658,4785,2433,2352,127,2.7
 ,"088 Balleen, Co. Kilkenny",446,450,236,214,4,0.9
 ,"089 Ballyconra, Co. Kilkenny",255,238,126,112,-17,-6.7
 ,"090 Baunmore, Co. Kilkenny",153,136,71,65,-17,-11.1
 ,"091 Clomantagh, Co. Kilkenny",290,327,145,182,37,12.8
 ,"092 Galmoy, Co. Kilkenny",304,312,154,158,8,2.6
 ,"093 Glashare, Co. Kilkenny",328,332,173,159,4,1.2
 ,"094 Johnstown, Co. Kilkenny",894,853,436,417,-41,-4.6
 ,"095 Lisdowney, Co. Kilkenny",213,250,124,126,37,17.4
 ,"096 Rathbeagh, Co. Kilkenny",262,283,145,138,21,8
 ,"097 Tubbridbrittain, Co. Kilkenny",305,312,161,151,7,2.3
 ,"098 Urlingford, Co. Kilkenny",1208,1292,662,630,84,7
 ,"Waterford No. 2 rural area, Co. Kilkenny",15149,15458,7777,7681,309,2
 ,"099 Aglish, Co. Kilkenny",871,881,457,424,10,1.1
 ,"100 Ballincrea, Co. Kilkenny",310,316,165,151,6,1.9
 ,"101 Dunkitt, Co. Kilkenny",1058,1011,511,500,-47,-4.4
 ,"102 Farnoge, Co. Kilkenny",297,307,156,151,10,3.4
 ,"103 Kilbeacon, Co. Kilkenny",194,202,111,91,8,4.1
 ,"104 Kilbride, Co. Kilkenny",427,401,201,200,-26,-6.1
 ,"105 Kilcolumb, Co. Kilkenny",579,585,299,286,6,1
 ,"106 Kilculliheen (part), Co. Kilkenny",4811,5239,2545,2694,428,8.9
 ,"107 Killahy, Co. Kilkenny",708,655,344,311,-53,-7.5
 ,"108 Kilmakevoge, Co. Kilkenny",430,433,221,212,3,0.7
 ,"109 Pollrone, Co. Kilkenny",1406,1453,717,736,47,3.3
 ,"110 Portnascully, Co. Kilkenny",1128,1114,566,548,-14,-1.2
 ,"111 Rathpatrick, Co. Kilkenny",1140,1099,563,536,-41,-3.6
 ,"112 Rossinan, Co. Kilkenny",776,743,400,343,-33,-4.3
 ,"113 Ullid, Co. Kilkenny",1014,1019,521,498,5,0.5
 ,Laois,80559,84732,42808,41924,4173,5.2
 ,"Abbeyleix rural area, Co. Laois",14389,14654,7409,7245,265,1.8
 ,"001 Abbeyleix, Co. Laois",2837,2779,1375,1404,-58,-2
 ,"002 Aghmacart, Co. Laois",361,375,197,178,14,3.9
 ,"003 Ballinakill, Co. Laois",792,825,425,400,33,4.2
 ,"004 Ballyroan, Co. Laois",969,1072,547,525,103,10.6
 ,"005 Blandsfort, Co. Laois",318,309,146,163,-9,-2.8
 ,"006 Caher, Co. Laois",105,100,47,53,-5,-4.8
 ,"007 Castletown, Co. Laois",741,772,368,404,31,4.2
 ,"008 Clash, Co. Laois",366,365,192,173,-1,-0.3
 ,"009 Clonkeen, Co. Laois",686,673,342,331,-13,-1.9
 ,"010 Colt, Co. Laois",187,174,92,82,-13,-7
 ,"011 Cuffsborough, Co. Laois",297,334,177,157,37,12.5
 ,"012 Cullahill, Co. Laois",359,357,183,174,-2,-0.6
 ,"013 Cullenagh, Co. Laois",141,142,72,70,1,0.7
 ,"014 Donaghmore, Co. Laois",255,260,137,123,5,2
 ,"015 Donore, Co. Laois",486,457,229,228,-29,-6
 ,"016 Dunmore, Co. Laois",238,275,130,145,37,15.5
 ,"017 Durrow, Co. Laois",1278,1260,627,633,-18,-1.4
 ,"018 Dysartgallen, Co. Laois",266,255,134,121,-11,-4.1
 ,"019 Fossy, Co. Laois",146,167,86,81,21,14.4
 ,"020 Grantstown, Co. Laois",358,367,191,176,9,2.5
 ,"021 Kilcoke, Co. Laois",139,134,75,59,-5,-3.6
 ,"022 Kildellig, Co. Laois",259,283,154,129,24,9.3
 ,"023 Killermogh, Co. Laois",341,346,173,173,5,1.5
 ,"024 Kilnaseer, Co. Laois",312,310,157,153,-2,-0.6
