"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"116 Kiltamagh, Co. Mayo",1510,1427,672,755,-83,-5.5
 ,"117 Meelick, Co. Mayo",591,574,291,283,-17,-2.9
 ,"118 Sonnagh, Co. Mayo",1124,1150,576,574,26,2.3
 ,"119 Swineford, Co. Mayo",2622,2526,1266,1260,-96,-3.7
 ,"120 Toocananagh, Co. Mayo",426,426,210,216,0,0
 ,"121 Toomore, Co. Mayo",1621,1599,774,825,-22,-1.4
 ,"122 Tumgesh, Co. Mayo",360,362,180,182,2,0.6
 ,"123 Urlaur, Co. Mayo",543,494,256,238,-49,-9
 ,"Westport rural area, Co. Mayo",18381,18221,9152,9069,-160,-0.9
 ,"124 Acaill, Co. Mayo",896,851,421,430,-45,-5
 ,"125 Aghagower North, Co. Mayo",994,1011,501,510,17,1.7
 ,"126 Aghagower South, Co. Mayo",116,108,62,46,-8,-6.9
 ,"127 Aillemore, Co. Mayo",341,347,175,172,6,1.8
 ,"128 Ballycroy North, Co. Mayo",320,300,162,138,-20,-6.3
 ,"129 Ballycroy South, Co. Mayo",343,331,176,155,-12,-3.5
 ,"130 Bundorragha, Co. Mayo",64,81,42,39,17,26.6
 ,"131 Clare Island, Co. Mayo",221,208,109,99,-13,-5.9
 ,"132 Clogher, Co. Mayo",870,858,449,409,-12,-1.4
 ,"133 An Corrán, Co. Mayo",726,673,356,317,-53,-7.3
 ,"134 Croaghpatrick, Co. Mayo",572,579,277,302,7,1.2
 ,"135 Derryloughan, Co. Mayo",654,683,334,349,29,4.4
 ,"136 Dumha Éige, Co. Mayo",626,623,297,326,-3,-0.5
 ,"137 Drummin, Co. Mayo",183,181,95,86,-2,-1.1
 ,"138 Emlagh, Co. Mayo",306,325,164,161,19,6.2
 ,"139 Erriff, Co. Mayo",125,122,63,59,-3,-2.4
 ,"140 Glenhest, Co. Mayo",235,245,130,115,10,4.3
 ,"141 Islandeady, Co. Mayo",1008,1006,514,492,-2,-0.2
 ,"142 Kilgeever, Co. Mayo",114,117,67,50,3,2.6
 ,"143 Kilmaclasser, Co. Mayo",560,637,312,325,77,13.8
 ,"144 Kilmeena (Part Rural), Co. Mayo",1546,1514,788,726,-32,-2.1
 ,"145 Kilsallagh, Co. Mayo",585,531,275,256,-54,-9.2
 ,"146 Knappagh, Co. Mayo",751,770,386,384,19,2.5
 ,"147 Louisburgh, Co. Mayo",983,959,455,504,-24,-2.4
 ,"148 Newport East, Co. Mayo",1133,1159,577,582,26,2.3
 ,"149 Newport West, Co. Mayo",780,811,400,411,31,4
 ,"150 Owennadornaun, Co. Mayo",96,92,40,52,-4,-4.2
 ,"151 Slievemahanagh, Co. Mayo",456,454,219,235,-2,-0.4
 ,"152 Slievemore, Co. Mayo",1072,990,500,490,-82,-7.6
 ,"153 Srahmore, Co. Mayo",128,139,73,66,11,8.6
 ,"154 Westport Rural, Co. Mayo",1577,1516,733,783,-61,-3.9
 ,Roscommon,64065,64436,32316,32120,371,0.6
 ,"Athlone No. 2 rural area, Co. Roscommon",15995,16547,8180,8367,552,3.5
 ,"001 Athlone West Rural, Co. Roscommon",4450,4960,2377,2583,510,11.5
 ,"002 Ballydangan, Co. Roscommon",702,716,361,355,14,2
 ,"003 Ballynamona, Co. Roscommon",538,512,262,250,-26,-4.8
 ,"004 Caltragh, Co. Roscommon",275,262,133,129,-13,-4.7
 ,"005 Carnagh, Co. Roscommon",777,794,391,403,17,2.2
 ,"006 Carrowreagh, Co. Roscommon",534,524,276,248,-10,-1.9
 ,"007 Castlesampson, Co. Roscommon",394,405,198,207,11,2.8
 ,"008 Cloonburren, Co. Roscommon",244,235,116,119,-9,-3.7
 ,"009 Cloonown, Co. Roscommon",243,263,122,141,20,8.2
 ,"010 Crannagh, Co. Roscommon",1177,1181,590,591,4,0.3
 ,"011 Creagh, Co. Roscommon",1035,1000,513,487,-35,-3.4
 ,"012 Culliagh, Co. Roscommon",204,207,104,103,3,1.5
 ,"013 Drumlosh, Co. Roscommon",323,335,173,162,12,3.7
 ,"014 Dysart, Co. Roscommon",242,243,130,113,1,0.4
 ,"015 Kilcar, Co. Roscommon",369,359,179,180,-10,-2.7
 ,"016 Kiltoom, Co. Roscommon",1656,1620,792,828,-36,-2.2
 ,"017 Lecarrow, Co. Roscommon",314,350,176,174,36,11.5
 ,"018 Moore, Co. Roscommon",310,308,160,148,-2,-0.6
 ,"019 Rockhill, Co. Roscommon",374,411,199,212,37,9.9
 ,"020 Taghboy, Co. Roscommon",473,513,258,255,40,8.5
 ,"021 Taghmaconnell, Co. Roscommon",276,271,140,131,-5,-1.8
 ,"022 Thomastown, Co. Roscommon",738,738,355,383,0,0
 ,"023 Turrock, Co. Roscommon",347,340,175,165,-7,-2
 ,"Boyle No. 1 rural area, Co. Roscommon",10243,10271,5134,5137,28,0.3
 ,"024 Aghafin, Co. Roscommon",135,140,80,60,5,3.7
 ,"025 Altagowlan, Co. Roscommon",57,49,29,20,-8,-14
 ,"026 Aughrim East, Co. Roscommon",227,221,114,107,-6,-2.6
 ,"027 Aughrim West, Co. Roscommon",188,173,83,90,-15,-8
 ,"028 Ballyfarnan, Co. Roscommon",247,234,124,110,-13,-5.3
 ,"029 Ballyfermoyle, Co. Roscommon",155,165,90,75,10,6.5
 ,"030 Boyle Rural, Co. Roscommon",1533,1595,747,848,62,4
 ,"031 Boyle Urban, Co. Roscommon",1459,1501,743,758,42,2.9
