CANDIDATES FOR LOCAL ELECTIONS 2004,,,,,,,,,,,,
Local Electoral Area,Last Name,Party,Full Name,Address ,Occupation,Passes,,,,,,
Crumlin/Kimmage,Martin,Fine Gael,Ann Marie Martin,Dublin 12,Fund Administrator,,,,,,,
Crumlin/Kimmage,McElroy,Progressive Democrats,Brian McElroy,Dublin 8,Funeral Director,,,,,,,
Crumlin/Kimmage,McElroy,Green Party/Comhaontas Glas,Kristina McElroy,Dublin 12,Art Teacher,,,,,,,
Crumlin/Kimmage,McGinley,Fine Gael,Ruairi McGinley,Co.Dublin,Accountant/City Councillor,,,,,,,
Crumlin/Kimmage,Ó'Maoilmhichil,The Labour Party,Gearóid Ó'Maoilmhichil,Dublin 12,Youth Officer,,,,,,,
Crumlin/Kimmage,Phelan,The Workers' Party,Brendan Phelan,Dublin 12,Information Officer,,,,,,,
Crumlin/Kimmage,Sargent,Sinn Féin,Robert Sargent,Dublin 12,Full Time Public Representative,,,,,,,
Donaghmede,Brabazon,Fianna Fáil,Tom Brabazon,Dublin 13,Solicitor/Councillor,,,,,,,
Donaghmede,Brennan,Non-party,Tom Brennan,Dublin 13,Peace Commissioner,,,,,,,
Donaghmede,Byrne,Fianna Fáil,Brian Byrne,Dublin 13,Company Director/Councillor,,,,,,,
Donaghmede,Carter,The Labour Party,Anne Carter,Dublin 13,City Councillor,,,,,,,
Donaghmede,Clare,Fianna Fáil,John Clare,Dublin 5,Manufacturing Engineer,,,,,,,
Donaghmede,Cooney,Green Party/Comhaontas Glas,Donna Cooney,Dublin 3,Community Artist,,,,,,,
Donaghmede,Cosgrave,Fine Gael,Niamh Cosgrave,Dublin 5,Public Representative,,,,,,,
Donaghmede,Crimmins,Fine Gael,Pat Crimmins,Dublin 5,Craft Gardener,,,,,,,
Donaghmede,Forde,Sinn Féin,Killian Forde,Dublin 13,Community Development Co-ordinator,,,,,,,
Donaghmede,Kennedy,Progressive Democrats,Aidan Kennedy,Dublin 5,Post Office Clerk,,,,,,,
Donaghmede,Kenny,The Labour Party,Seán Kenny,Dublin 5,Public Representative/Former Lord Mayor of Dublin,,,,,,,
Donaghmede,McPherson,Fianna Fáil,Michael Patrick McPherson,Dublin 5,Lecturer,,,,,,,
Finglas,Ellis,Sinn Féin,Dessie Ellis,Dublin 11,City Councillor,,,,,,,
