Fianna Fail;F.F.
Fine Gael;F.G.
Sinn Fein;S.F.
The Labour Party;LAB.
Catholic Democrats; C.D.
Green Party; G.P.
Renua Ireland;R.I.
Direct Democracy Ireland;D.D.I.
Independents 4 Change;I.4.C
Anti-Austerity Alliance - People Before Profit;AAA-PBP
Social Democrats;S.D.
Workers Party;W.P.
Fis Nua;F.N.
Communist Party of Ireland;C.P.I.
Irish Democratic Party;I.D.P.
Non-Objects.Party;NON-P.
